,text,polarity,subjectivity,date
763,"RT @EGentilhomme: L'Apple Car ""downsized"" : c. 1000 personnes, soit presque 1% de l'effectif d'Apple (= projet important), réallouées ou li…",0.4,1.0,2016-10-17 13:46:12
334,RT @jwan584: Apple hires Carnegie Mellon professor to head up Director of AI. $AAPL has realized #AI will be the key SW differentiator of t…,0.0,1.0,2016-10-17 16:33:51
787,$AAPL what a horrible way to start the week https://t.co/OB0MvyOXHh,-1.0,1.0,2016-10-17 13:37:04
783,$AAPL Apple envisioned using your fingerprint as a car key https://t.co/2x0Wf8QLtl,0.0,1.0,2016-10-17 13:39:11
782,Apple envisioned using your fingerprint as a car key $AAPL https://t.co/S6DviHMrfm https://t.co/qgHJPvSZXL https://t.co/WOGgfcVytD,0.0,1.0,2016-10-17 13:39:17
339,Apple hires Carnegie Mellon professor to head up Director of AI. $AAPL has realized #AI will be the key SW differen… https://t.co/4I5nWzOCVU,0.0,1.0,2016-10-17 16:33:41
372,Only 10% of call buyers make 💰 but 90% of call sellers make 💰. Hmmmm I guess being the bookie does pay dividends!! $twtr $sq $fb $aapl $tsla,0.0,1.0,2016-10-17 16:24:28
187,@gassee I hope this isn't another Ive-lead misreading of market potential vs. $AAPL biz model.,0.0,1.0,2016-10-17 17:24:26
961,"Exposure in $DIA declining. Dow 19,000 still a far stretch.

$AXP $AAPL $BA $CAT $DIS $XOM $CVX $KO $HD $IBM $GS https://t.co/AJyRESP966",0.1,1.0,2016-10-17 12:25:49
199,RT @WallStGangsta: REMINDER : $AAPL $FB $GILD January 2017 : 3 Option Strangles With 100% Gain Potential https://t.co/HLgMT0uCaH,0.25,1.0,2016-10-17 17:21:02
619,"@smartertrader $aapl mgt is stupid, instead of wasting time &amp; $ on their own car they should have partnered / bought $tsla",-0.1,1.0,2016-10-17 14:41:43
735,$GOOG $AAPL ZipCash: #$KGRI !! Mary Jane Gonna Make A Mad - ZipCash https://t.co/XtfE0PIoln,-0.625,1.0,2016-10-17 14:01:54
716,$CMG Thing are not pretty in the world of burritos today..... #stocks #stockmarket #daytrading $AAPL $AMZN $GOOG $GOOGL $NFLX $FB $TWTR $SPY,-0.125,1.0,2016-10-17 14:14:26
303,RT @jwan584: Apple hires Carnegie Mellon professor to head up Director of AI. $AAPL has realized #AI will be the key SW differentiator of t…,0.0,1.0,2016-10-17 16:39:41
328,RT @jwan584: Apple hires Carnegie Mellon professor to head up Director of AI. $AAPL has realized #AI will be the key SW differentiator of t…,0.0,1.0,2016-10-17 16:34:54
384,@jack Truth is the Russians would have outbid $aapl via Trump proxy if you  had been just opening it up to the  highest bidder.Thank you :-),0.5,1.0,2016-10-17 16:20:20
198,RT @WallStGangsta: REMINDER : $AAPL $FB $GILD January 2017 : 3 Option Strangles With 100% Gain Potential https://t.co/HLgMT0uCaH,0.25,1.0,2016-10-17 17:21:20
790,"L'Apple Car ""downsized"" : c. 1000 personnes, soit presque 1% de l'effectif d'Apple (= projet important), réallouées… https://t.co/779m8wn7SE",0.4,1.0,2016-10-17 13:36:06
201,RT @WallStGangsta: REMINDER : $AAPL $FB $GILD January 2017 : 3 Option Strangles With 100% Gain Potential https://t.co/HLgMT0uCaH,0.25,1.0,2016-10-17 17:20:28
884,"RT @Macro_View: Exposure in $DIA declining. Dow 19,000 still a far stretch.

$AXP $AAPL $BA $CAT $DIS $XOM $CVX $KO $HD $IBM $GS https://t.…",0.1,1.0,2016-10-17 13:03:04
1001,This Mysterious Chip In The iPhone 7 Could Be The Key To Apples AI Push $AAPL #wlst https://t.co/IFk4JPmkk6 https://t.co/dlryVBw8Je,0.0,1.0,2016-10-17 12:05:51
318,RT @jwan584: Apple hires Carnegie Mellon professor to head up Director of AI. $AAPL has realized #AI will be the key SW differentiator of t…,0.0,1.0,2016-10-17 16:38:04
992,$AAPL This Mysterious Chip In The iPhone 7 Could Be The Key To Apple's AI Push https://t.co/r2TwkZsj3i,0.0,1.0,2016-10-17 12:09:09
553,#Finance Jeff Reeves's Strength in Numbers: These five investments make the perfect all-aroun... https://t.co/eY3M0HvFJ8 $FB $AAPL $UBQU,1.0,1.0,2016-10-17 15:08:35
555,"RT @MarketWatch: Republicans, Democrats agree: EU tax case against $AAPL is ‘awful’   https://t.co/75w2NBS7ld https://t.co/JRiLv6WifR",-1.0,1.0,2016-10-17 15:08:07
203,RT @WallStGangsta: REMINDER : $AAPL $FB $GILD January 2017 : 3 Option Strangles With 100% Gain Potential https://t.co/HLgMT0uCaH,0.25,1.0,2016-10-17 17:19:57
795,$AAPL lmao,0.6,1.0,2016-10-17 13:33:23
573,$GOOG $AAPL vantillian: FABULOUS post on the $NWAV board --&gt; https://t.co/IVy4NsbggP https://t.co/dNVdcRRcR9,0.4,1.0,2016-10-17 15:01:25
886,"#stockmarket Bearish Netflix rumors are only short-term worries, analyst says: Bearish rumors... https://t.co/9UNEYxrnuo $aapl $fb $UBQU",0.0,1.0,2016-10-17 13:01:43
988,"#Apple no longer plans to build own car, @business says 
$AAPL $TSLA $SCTY https://t.co/IbdDkJjR9D",0.6,1.0,2016-10-17 12:09:49
205,REMINDER : $AAPL $FB $GILD January 2017 : 3 Option Strangles With 100% Gain Potential https://t.co/HLgMT0uCaH,0.25,1.0,2016-10-17 17:19:25
947,RT @finzine: $AAPL This Mysterious Chip In The iPhone 7 Could Be The Key To Apple's AI Push https://t.co/r2TwkZsj3i,0.0,1.0,2016-10-17 12:38:02
797,$AAPL $GOOGL team spirit might not be very strong though...,0.563333333333,0.953333333333,2016-10-17 13:32:55
753,RT @FinWizApp: Get latest info on $TWTR $DIS $MSFT $KITE $GOOG $DB $HIMX $BAC $GS $NFLX $AMZN  $YELP $AAPL  with Finance Wizard @ https://t…,0.5,0.9,2016-10-17 13:55:17
