Date,Adj. Open,Adj. Close,S&P Open,Adj. High,Adj. Low,Adj. Volume,S&P Adj. Close
2010-12-13,4.35,4.37,78878000.0,4.46,4.31,1242.52002,1240.459961
2010-12-14,4.42,4.38,55398700.0,4.45,4.33,1241.839966,1241.589966
2010-12-15,4.3,4.23,44183100.0,4.35,4.21,1241.579956,1235.22998
2010-12-16,4.22,4.17,38347000.0,4.25,4.12,1236.339966,1242.869995
2010-12-17,4.16,4.16,68324200.0,4.25,4.12,1243.630005,1243.910034
2010-12-20,4.22,4.27,34884500.0,4.31,4.19,1245.76001,1247.079956
2010-12-21,4.26,4.31,35023000.0,4.37,4.25,1249.430054,1254.599976
2010-12-22,4.27,4.21,28855400.0,4.31,4.21,1254.939941,1258.839966
2010-12-23,4.21,4.19,39544300.0,4.24,4.15,1257.530029,1256.77002
2010-12-27,4.18,4.27,12440800.0,4.27,4.17,1254.660034,1257.540039
2010-12-28,4.27,4.2,22467000.0,4.31,4.2,1259.099976,1258.51001
2010-12-29,4.23,4.17,18726300.0,4.24,4.16,1258.780029,1259.780029
2010-12-30,4.18,4.16,18731900.0,4.2,4.15,1259.439941,1257.880005
2010-12-31,4.19,4.23,24595200.0,4.24,4.18,1256.76001,1257.640015
2011-01-03,4.3,4.51,89779900.0,4.52,4.3,1257.619995,1271.869995
2011-01-04,4.53,4.45,118162100.0,4.61,4.44,1272.949951,1270.199951
2011-01-05,4.46,4.62,82372700.0,4.69,4.37,1268.780029,1276.560059
2011-01-06,4.68,4.65,57155100.0,4.68,4.59,1276.290039,1273.849976
2011-01-07,4.62,4.68,52699200.0,4.68,4.57,1274.410034,1271.5
2011-01-10,4.65,4.58,63601100.0,4.66,4.42,1270.839966,1269.75
2011-01-11,4.55,4.4,68692500.0,4.57,4.4,1272.579956,1274.47998
2011-01-12,4.42,4.41,59029600.0,4.45,4.37,1275.650024,1285.959961
2011-01-13,4.44,4.48,58146500.0,4.49,4.38,1285.780029,1283.76001
2011-01-14,4.42,4.45,46846500.0,4.51,4.4,1282.900024,1293.23999
2011-01-18,4.41,4.36,60548600.0,4.44,4.32,1293.219971,1295.02002
2011-01-19,4.38,4.28,59073800.0,4.43,4.22,1294.52002,1281.920044
2011-01-20,4.26,4.27,49114500.0,4.3,4.18,1280.849976,1280.26001
2011-01-21,4.31,4.31,34397200.0,4.36,4.25,1283.630005,1283.349976
2011-01-24,4.3,4.37,23932400.0,4.39,4.3,1283.290039,1290.839966
2011-01-25,4.37,4.36,23608300.0,4.4,4.31,1288.170044,1291.180054
