,text,polarity,subjectivity,date
449,MacHashNews: RIP data: It only ever shows Apple losing https://t.co/a3xV6bUzid #Macworld $AAPL https://t.co/siKXI9mkEE #mac #Apple #apple…,0.0,1.0,2016-12-03 13:48:12
830,AT&amp;T and Verizon Facing FCC Scrutiny After Exempting Their Own Apps From Data Caps https://t.co/QkZr7c3lVX… https://t.co/9NUf0i3nBE,0.6,1.0,2016-12-03 03:58:34
77,RT @AMG_Trading_LLC: How To Improve Your #Trading Using These 3 Key Factors $AAPL $NFLX $TERP $QQQ $DOW #Options #stockstotrade $USO https:…,0.0,1.0,2016-12-03 19:35:15
485,"Planning For 2017, It's Important Even At 102 https://t.co/Rd2YMEFfoD $AAPL $COST $D $HYH $KMI $MKC $SBUX",0.4,1.0,2016-12-03 13:08:24
112,How To Improve Your #Trading Using These 3 Key Factors $AAPL $NFLX $TERP $QQQ $DOW #Options #stockstotrade $USO https://t.co/DT9K9OEpft,0.0,1.0,2016-12-03 18:59:59
450,RIP data: It only ever shows Apple losing https://t.co/4XflTUbXM7 #Macworld $AAPL https://t.co/PgHZngZz8V,0.0,1.0,2016-12-03 13:46:18
132,What is your favorite Nasdaq mega cap? $FB $MSFT $GOOG $AMZN $AAPL https://t.co/ORem7QL52J,0.5,1.0,2016-12-03 18:47:12
778,RT @MacHashNews: 10 Perfect Gift Ideas for iPhone Owners https://t.co/01iICvizUG #AppAdvice $AAPL https://t.co/5sBqnwofxW,1.0,1.0,2016-12-03 05:53:24
361,"RT @muathe: [ VIDEO ] Weekend US Market Analysis Dec 03, '16 $BAC $SIRI $CHK $P $AMD $VALE $F $WLL $QQQ $ECA $FCX $CSCO $AAPL $T https://t.…",-0.75,1.0,2016-12-03 15:00:27
313,"RT @muathe: [ VIDEO ] Weekend US Market Analysis Dec 03, '16 $BAC $SIRI $CHK $P $AMD $VALE $F $WLL $QQQ $ECA $FCX $CSCO $AAPL $T https://t.…",-0.75,1.0,2016-12-03 15:49:25
799,MacHashNews: 10 Perfect Gift Ideas for iPhone Owners https://t.co/eI7FMzXTay #AppAdvice $AAPL https://t.co/j5Ujs8SPj5 #mac #Apple #applek…,1.0,1.0,2016-12-03 05:08:39
800,10 Perfect Gift Ideas for iPhone Owners https://t.co/01iICvizUG #AppAdvice $AAPL https://t.co/5sBqnwofxW,1.0,1.0,2016-12-03 05:08:37
69,RT @jjjinvesting: Apple: The Important iPhone Decision https://t.co/XTvUaXPOtO $AAPL,0.4,1.0,2016-12-03 19:43:07
807,Check Out Our #trading #forum ! Ask Your Questions And Create Your Own Topics ! #stockmarket $AAPL #swingtrading https://t.co/KLzZo6Vq0D,0.75,1.0,2016-12-03 05:00:08
243,$SPY We Are Putting Off The Inevitable https://t.co/aVWFgyhg0F $SPX $DIA $DJIA $QQQ $TLT #stockmarket #stocks #investing #finance $AAPL $CMG,0.0,1.0,2016-12-03 17:06:38
88,Apple Sends Feedback to the National Highway Traffic Administration on Key Policies Regarding…… https://t.co/CuE2Ph8XYg,0.0,1.0,2016-12-03 19:22:34
242,"Potential savings from 20% reduction in repat rate

$MSFT 19B
$GOOG 10B
$CSCO 11B
$ORCL 9B
$AAPL 43B ($8/sh vs '17… https://t.co/aWr37FAhfc",0.0,1.0,2016-12-03 17:06:48
1043,"RT @OphirGottlieb: $AAPL 

How to trade options in Apple in a 2 min video. 

Be. Powerful.

https://t.co/cPPBZIsqSg

@TDANSherrod @TDAJJKin…",0.3,1.0,2016-12-02 23:52:43
843,Updated Apple Store app allows users to buy favorite items from the Apple Watch itself https://t.co/QgPVFDaPvl… https://t.co/tMfTA9sGDc,0.5,1.0,2016-12-03 03:25:10
232,"Excellent article about some of the potential repatriation winners...

$ADSK $ADBE $AMGN $GILD $MDT $JNJ $KO $AAPL

https://t.co/NRv0zaQ82U",0.5,1.0,2016-12-03 17:12:26
871,That was my only reservation and if it could also heat my thermos $AAPL #CoffeeMugHeater https://t.co/VPm0PMxDYg,0.0,1.0,2016-12-03 03:11:33
837,RT @MobilePotpurri: Catching up to #GoogleMaps: Apple said to fly #drones to improve #map data - $AAPL $GOOG #infosec #privacy https://t.co…,0.7,0.9,2016-12-03 03:41:00
220,$SPY #Sex #Stocks: Get naughty with these #investments https://t.co/Gg6vKpieDA #stockmarket #investing $AAPL $AMZN $NFLX $GOOG $GOOGL $QQQ,-0.15,0.9,2016-12-03 17:23:28
126,Apple Inc. $AAPL)Set To Incorporate #Drones and Indoor Data To Significantly Improve Maps https://t.co/Xqfaxo9XdN #TheCountryCaller,0.375,0.875,2016-12-03 18:53:02
262,"Langone to Trump: It's great to honor job-saving promises, but the US is a free economy https://t.co/msVXWXbpzu 

I'm sure $AAPL is happy?",0.625,0.859722222222,2016-12-03 16:42:24
