,text,polarity,subjectivity,date
149,"CBS boss accidentally reveals that YouTube is working on its own cable TV competitor https://t.co/Zl2Mq6m5Sg via @sai
$GOOGL",0.6,1.0,2016-12-06 18:02:30
209,"@ourclassifieds
Sophisticated Plug &amp; Play   #calcutta #services #web #directory #seo #googl https://t.co/PDKQX5XSzr",0.5,1.0,2016-12-06 16:30:09
145,"RT @txlaw_v2: CBS boss accidentally reveals that YouTube is working on its own cable TV competitor https://t.co/Zl2Mq6m5Sg via @sai
$GOOGL",0.6,1.0,2016-12-06 18:03:16
208,RT @AmyDaniel212: #Wow we are #recordbreaking today on the #website thank you for visiting https://t.co/vT9HmoiNbp $dis $aapl $googl #Monda…,0.1,1.0,2016-12-06 16:30:12
194,RT @AmyDaniel212: Never stop being creative. https://t.co/vT9HmoiNbp $jwn $aa $ibm $usat $aapl $mck $googl $hpq $hpe $msft $xle $efa #Frida…,0.5,1.0,2016-12-06 17:07:34
256,"RT @apppro1: @PrisonPlanet And darn sure I don't want $GOOGL's $FB's algo's to be MY NEWS CENSOR. If a site is ""fake"" news let the lawyers…",0.0,0.944444444444,2016-12-06 15:26:27
949,Count Facebook Inc (FB) Stock Out If You Hate Money https://t.co/ZDwtEQxXbO $FB $GOOG $GOOGL $TCTZF $YNDX… https://t.co/tcnH9ZDRo2,-0.8,0.9,2016-12-06 13:42:42
301,Read your blogwposts out loud to dake sure your writing is polished. (Googl. Webmastnrs),0.3,0.844444444444,2016-12-06 14:21:49
292,$NVCN $AMZN $GOOGL $CMG EASY MORNING! 💵👌,0.541666666667,0.833333333333,2016-12-06 14:37:16
154,"FREE REPORT
How do #equity #investment #HedgeFunds see #stocks
$GOOGL $AMZN $AAPL $BRK $XOM
in the coming weeks?… https://t.co/xCXDHMVg7N",0.4,0.8,2016-12-06 18:00:38
250,@ivanhoff I love tech ...very exciting field w/ some amazing visionaries and leadership $FB $MSFT $GOOGL,0.466666666667,0.766666666667,2016-12-06 15:31:11
45,$CMG LOL you lucky bastards..... #options #stocks #optionstrading #stockmarket #finance #investing $SPY $QQQ $GOOG… https://t.co/eUoxtvoRCE,0.566666666667,0.766666666667,2016-12-06 18:26:05
180,"$FB $GOOGL $BIDU $MSFT $TWTR:

Snapchat won’t likely be a top ad player, but experts say it doesn’t …:

https://t.co/ld26qsn5pl",0.25,0.75,2016-12-06 17:21:03
262,More than movie magic: How 'Lion' integrates Google Earth in its stirring story #USA https://t.co/xKaiI1uWvt,0.5,0.75,2016-12-06 15:23:12
159,More than movie magic: How 'Lion' integrates Googl... https://t.co/wkXEjunJaH via @VL_price #marketing #BestPrice https://t.co/xeDiPa7BOm,0.5,0.75,2016-12-06 17:54:28
188,RT @AmyDaniel212: #Use #great #idea #hashtags for #SEO #SearchEngineOptimization https://t.co/vT9HmoiNbp $aapl $mck $googl $hpq $hpe #Monda…,0.8,0.75,2016-12-06 17:10:52
260,Why FANG Stocks Will Stay Strong In 2017 https://t.co/zGZRwYfc9F $FB $AAPL $AMZN $NFLX $GOOGL $GOOG $LNKD $BABA… https://t.co/cdOf8kZJeZ,0.433333333333,0.733333333333,2016-12-06 15:24:00
293,"RT @efonsecabcr: Top in #technology #business and #games Ultimate Dunker - Android Apps on Googl… https://t.co/5OqxfkEqgb, see more https:/…",0.333333333333,0.666666666667,2016-12-06 14:35:54
