,text,polarity,subjectivity,date
834,#Pfizer will use #Watson to “analyse massive volumes of disparate #data sources” https://t.co/WSn0cterzM,0.0,1.0,2016-12-06 18:21:11
201,RT @IBM_Financing: Do you want to conserve cash while planning technology investments? #IBMFinancing has attractive payment options https:/…,0.8,1.0,2016-12-06 18:38:59
828,#Pfizer will use #Watson to “analyse massive volumes of disparate #data sources” https://t.co/tb0oylhuqS,0.0,1.0,2016-12-06 18:21:23
340,A nice boost for #blockchain. &gt;&gt; IBM building blockchain ecosystem https://t.co/Jt9LiRSiaI via @CIOonline @ThorOlavsrud,0.6,1.0,2016-12-06 18:36:11
425,SQL Magic in #Jupyter Notebooks in the IBM Data Science Experience https://t.co/MxuRQmIQC7 https://t.co/sEqbWHD1uk,0.5,1.0,2016-12-06 18:34:15
682,#Pfizer will use #Watson to “analyse massive volumes of disparate #data sources” https://t.co/LrPpgEdaz9,0.0,1.0,2016-12-06 18:25:56
43,#Pfizer will use #Watson to “analyse massive volumes of disparate #data sources” https://t.co/S2IRh25166,0.0,1.0,2016-12-06 18:41:37
875,#Pfizer will use #Watson to “analyse massive volumes of disparate #data sources” https://t.co/7HXabR11om,0.0,1.0,2016-12-06 18:20:00
25,RT @IBM_DB2: In Houston on December 14th? Attend the #DB2 for SAP Roadshow to learn key DB2 considerations for #SAP environments https://t.…,0.0,1.0,2016-12-06 18:41:52
251,"RT @IBMSystems: Unlocking the potential of #blockchain, by @DonnaExplorer. Read it on the #IBMSystems blog. #ITinfrastructure https://t.co/…",0.0,1.0,2016-12-06 18:37:46
172,"RT @IBMSystems: Unlocking the potential of #blockchain, by @DonnaExplorer. Read it on the #IBMSystems blog. #ITinfrastructure https://t.co/…",0.0,1.0,2016-12-06 18:39:26
487,RT @acid23: Remember: the holocaust wouldn't have been possible in this form without the information technology provided by IBM,0.0,1.0,2016-12-06 18:31:54
752,#Pfizer will use #Watson to “analyse massive volumes of disparate #data sources” https://t.co/uvgaf5JZmI,0.0,1.0,2016-12-06 18:23:31
1002,#CognitiveSecurity Key to Addressing Intelligence and Accuracy Gaps. #cybersecurity https://t.co/bUz5ncob24 https://t.co/3Cu8pWVD4Y,0.0,1.0,2016-12-06 18:12:14
